Id,Label
chinese,chinese
friends,friends
ask,ask
cat,cat
tax,tax
中国,中国
朋友,朋友
征收,征收
猫税,猫税
understand,understand
cats,cats
cute,cute
america,america
enjoy,enjoy
looking,looking
curious,curious
however,however
cultural,cultural
thing,thing
simply,simply
joke,joke
arisen,arisen
influx,influx
americans,americans
xiaohongshu,xiaohongshu
slang,slang
call,call
cars,cars
letter,letter
r,r
right,right
next,next
keyboards,keyboards
common,common
spelling,spelling
error,error
many,many
started,started
purpose,purpose
since,since
noise,noise
makes,makes
similar,similar
car,car
engine,engine
mandarin,mandarin
thanks,thanks
猫,猫
可爱,可爱
美国,美国
喜欢,喜欢
看猫,看猫
好奇,好奇
文化,文化
涌入,涌入
小红书,小红书
笑话,笑话
俚语,俚语
称猫,称猫
汽车,汽车
字母,字母
键盘,键盘
旁边,旁边
这是,这是
常见,常见
拼写错误,拼写错误
做,做
发出,发出
噪音,噪音
类似,类似
发动机,发动机
普通话,普通话
里,里
谢谢,谢谢
罐头,罐头
推荐,推荐
养猫,养猫
攻略,攻略
新手,新手
hi,hi
paying,paying
please,please
税,税
请,请
享受,享受
爱,爱
🇺🇸,🇺🇸
tiktokrefugee,tiktokrefugee
cattax,cattax
foreinger,foreinger
rednote,rednote
heard,heard
liked,liked
pay,pay
rent,rent
using,using
auto,auto
translator,translator
excuse,excuse
incorrect,incorrect
听说,听说
我来,我来
付,付
房租,房租
自动,自动
翻译,翻译
有误,有误
请原谅,请原谅
一名,一名
新会员,新会员
缴纳,缴纳
接纳,接纳
会员,会员
乐意,乐意
支付,支付
猫咪,猫咪
lili,lili
问好,问好
给我发,给我发
一张,一张
狗,狗
照片,照片
new,new
member,member
us,us
order,order
considered,considered
acceptance,acceptance
happy,happy
say,say
hello,hello
send,send
picture,picture
dog,dog
您好,您好
texas,texas
退,退
fyp,fyp
fy,fy
fypシ,fypシ
time,time
collect,collect
taxes,taxes
today,today
lazy,lazy
afternoon,afternoon
nap,nap
healing,healing
every,every
day,day
brings,brings
different,different
tax—what,tax—what
offer,offer
share,share
猫猫,猫猫
收税,收税
懒洋洋,懒洋洋
午睡,午睡
样子,样子
实在,实在
太,太
治愈,治愈
交了,交了
分享,分享
外国人,外国人
tiktok,tiktok
little,little
thank,thank
welcoming,welcoming
name,name
mumba,mumba
grumpy,grumpy
old,old
man,man
shoto,shoto
peach🩷,peach🩷
buffy,buffy
xena,xena
shinsuke,shinsuke
vampire,vampire
mob,mob
boss,boss
lord,lord
intergalactic,intergalactic
shrimping,shrimping
conglomerate,conglomerate
shrimpire,shrimpire
featuring,featuring
babies,babies
🐱,🐱
forgive,forgive
translations,translations
good,good
let,let
know,know
wrong,wrong
used,used
translate,translate
names,names
艺术,艺术
艺术品,艺术品
数字,数字
procreate,procreate
art,art
digitalart,digitalart
red,red
note,note
daxon,daxon
animal,animal
whisperer,whisperer
australia,australia
rat,rat
quokka,quokka
excited,excited
amazing,amazing
animals,animals
你好,你好
红色,红色
笔记,笔记
daxon，,daxon，
澳大利亚,澳大利亚
动物,动物
沟通,沟通
师,师
老鼠,老鼠
一只,一只
短尾,短尾
矮,矮
袋鼠,袋鼠
期待,期待
神奇,神奇
故事,故事
people,people
show,show
photos,photos
pet,pet
展示,展示
宠物,宠物
！）,！）
新,新
成员,成员
缴猫,缴猫
思考,思考
正式,正式
迟到,迟到
bella,bella
luna,luna
😻🫶🏻,😻🫶🏻
初来乍到,初来乍到
指教,指教
交朋友,交朋友
名字,名字
苗泽东,苗泽东
🧉,🧉
argentina,argentina
kitten,kitten
zelda,zelda
enjoying,enjoying
window,window
献上,献上
小猫,小猫
塞尔达,塞尔达
窗户,窗户
乐趣,乐趣
everyone,everyone
american,american
refugee,refugee
anyonr,anyonr
wants,wants
mutals,mutals
totally,totally
抖音,抖音
难民,难民
有人,有人
想,想
mutals，,mutals，
showmeyourpets,showmeyourpets
nobody,nobody
year,year
everyone🥰,everyone🥰
半年前,半年前
打粉,打粉
老师,老师
交换,交换
物料,物料
这辈子,这辈子
年,年
味,味
🧨,🧨
有时候,有时候
大扫除,大扫除
量,量
速度,速度
提高,提高
家,家
一人,一人
一屋,一屋
一猫,一猫
全世界,全世界
围着,围着
打转,打转
青峰,青峰
新年快乐,新年快乐
式,式
开工,开工
showmeyourcats,showmeyourcats
decibel，,decibel，
拇指,拇指
比腦,比腦
細胞,細胞
還多,還多
還是,還是
愛他,愛他
decibel,decibel
thumbs,thumbs
braincells,braincells
love,love
accept,accept
overdue,overdue
added,added
extra,extra
late,late
fee,fee
😭🫶🏻,😭🫶🏻
接受,接受
逾期,逾期
额外,额外
加,加
滞纳金,滞纳金
。😭🫶🏻,。😭🫶🏻
流浪,流浪
出国,出国
小猫咪,小猫咪
even,even
european,european
feel,feel
obliged,obliged
random,random
quick,quick
sketch,sketch
snow,snow
cutest,cutest
-october,-october
cuddles,cuddles
included,included
october,october
❤️🐾,❤️🐾
rentislatebutthepurrsareontime,rentislatebutthepurrsareontime
catax,catax
晒,晒
california,california
鱼油,鱼油
rio！,rio！
抱歉,抱歉
语法错误,语法错误
误解,误解
添加,添加
中文字幕,中文字幕
欣赏,欣赏
精彩,精彩
帖子,帖子
rio,rio
sorry,sorry
bad,bad
grammar,grammar
misunderstanding,misunderstanding
apps,apps
add,add
captions,captions
see,see
posts,posts
貓,貓
小貓,小貓
hayden,hayden
林火,林火
凤,凤
选择,选择
这部,这部
初中,初中
改变,改变
）。,）。
大学生,大学生
学习,学习
中文,中文
2016,2016
流利,流利
感激,感激
♬,♬
app,app
loaded,loaded
yummy,yummy
foods,foods
want,want
learn,learn
yeah,yeah
充满,充满
美味,美味
食物,食物
应用程序,应用程序
想学,想学
问,问
！！！,！！！
版本,版本
押韵,押韵
tiktok_refugee,tiktok_refugee
backpack,backpack
cat_tax,cat_tax
